species,common_en,common_local,feature,coefficient_log_odds_per_1sd,odds_ratio_per_1sd,signed_relative_weight,absolute_relative_weight,direction,feature_mean,feature_std,n_presence,n_background,auc_training
Chromis chromis,Damselfish,Crnik,depth_m,-2.347072743458742,0.09564874121957481,-0.3370361553541251,0.3370361553541251,negative,1320.0382399787532,1277.6039603731545,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,temperature_c,-0.8184419228755958,0.44111841586639927,-0.11752704292417136,0.11752704292417136,negative,19.821206252249784,1.6276422457870903,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,salinity_psu,0.29089688993937723,1.3376266540737862,0.041772360768486436,0.041772360768486436,positive,37.80333256405575,1.258717247644259,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,chlorophyll_mg_m3,0.043731775763184516,1.0447021028806889,0.006279817960951713,0.006279817960951713,positive,0.18408710483165466,0.2598738725814447,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,light_attenuation_kdpar,-0.3294638814691217,0.7193092651038098,-0.04731052339467121,0.04731052339467121,negative,0.07389709033374776,0.019189485417021465,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,slope_degree,-0.14968063552396826,0.8609828998750202,-0.021493916653651916,0.021493916653651916,negative,1.443245242065103,1.7803265842603901,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,terrain_ruggedness_index,0.4719136535347284,1.6030589592756737,0.06776609880956568,0.06776609880956568,positive,109.27963721821317,128.09030116078048,358,2000,0.9662437150837989
Chromis chromis,Damselfish,Crnik,distance_to_coast_km,-2.5126589206372505,0.0810524404654687,-0.3608140841343766,0.3608140841343766,negative,73.08492078119107,79.34480727532866,358,2000,0.9662437150837989
Diplodus vulgaris,Common two-banded seabream,Fratrc,depth_m,-2.1971568252279243,0.111118639378169,-0.33958280193665213,0.33958280193665213,negative,1329.2413594117531,1278.5823618277784,340,2000,0.9620176470588235
Diplodus vulgaris,Common two-banded seabream,Fratrc,temperature_c,-0.71212934247454,0.49059843238008644,-0.11006354880185845,0.11006354880185845,negative,19.80084671886603,1.6440807120934968,340,2000,0.9620176470588235
